Id,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtFinSF1,BsmtFinSF2,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HouseStyle,KitchenAbvGr,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,BasementFinishedPercent,BsmtCondNum,BsmtExposureNum,BsmtFinType1Num,BsmtFinType2Num,BsmtQualNum,BuildingAge,ExterCondNum,ExterQualNum,FenceNum,FireplaceQuNum,GarageAge,GarageCondNum,GarageFinishNum,GarageQualNum,HeatingQCNum,KitchenQualNum,OverallQualOverallCond,OverallQualTotalAreaSFMultiplied,PoolQCNum,QualSquared,RemodelledAge,RoomSize,SumAge,TotalAreaSF,BeforeCrisis,Floors,TotalAreaSFBinned,Year,NeighborhoodOverallQualMean,NeighborhoodTotalAreaSFMean
0,856,854,0,No,3,1Fam,706.0,0.0,1.0,0.0,150.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,0,PConc,2,Typ,548.0,2.0,Attchd,2003.0,1710,1,GasA,2Story,1,Lvl,Gtl,8450,Inside,65.0,Reg,0,60,RL,196.0,BrkFace,No,0,2,CollgCr,61,5,7,Y,0,CompShg,Gable,Normal,WD,0,Pave,8,856.0,AllPub,0,2003,2003,2008,0.8247663551401869,3,0,6,1,4,5,3,4,0,0,5.0,3,2,3,5,4,12,17962.0,4,49,5,1718,10,2566.0,1.0,1.0,5.0,2.0,6.677902621722846,2654.1685393258426
1,1262,0,0,No,3,1Fam,978.0,0.0,0.0,1.0,284.0,Y,Feedr,Norm,SBrkr,0,MetalSd,MetalSd,1,CBlock,2,Typ,460.0,2.0,Attchd,1976.0,1262,0,GasA,1Story,1,Lvl,Gtl,9600,FR2,80.0,Reg,0,20,RL,0.0,None,No,0,5,Veenker,0,8,6,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,1262.0,AllPub,298,1976,1976,2007,0.7749603803486529,3,3,5,1,4,31,3,3,0,3,31.0,3,2,3,5,3,14,15144.0,4,36,31,1268,62,2524.0,1.0,0.0,5.0,1.0,7.208333333333333,3252.125
2,920,866,0,No,3,1Fam,486.0,0.0,1.0,0.0,434.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,1,PConc,2,Typ,608.0,2.0,Attchd,2001.0,1786,1,GasA,2Story,1,Lvl,Gtl,11250,Inside,68.0,IR1,0,60,RL,162.0,BrkFace,No,0,9,CollgCr,42,5,7,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,920.0,AllPub,0,2001,2002,2008,0.5282608695652173,3,1,6,1,4,7,3,4,0,3,7.0,3,2,3,5,4,12,18942.0,4,49,6,1792,13,2706.0,1.0,1.0,6.0,2.0,6.677902621722846,2654.1685393258426
3,961,756,0,No,3,1Fam,216.0,0.0,1.0,0.0,540.0,Y,Norm,Norm,SBrkr,272,Wd Sdng,Wd Shng,1,BrkTil,1,Typ,642.0,3.0,Detchd,1998.0,1717,0,GasA,2Story,1,Lvl,Gtl,9550,Corner,60.0,IR1,0,70,RL,0.0,None,No,0,2,Crawfor,35,5,7,Y,0,CompShg,Gable,Abnorml,WD,0,Pave,7,756.0,AllPub,0,1915,1970,2006,0.2857142857142857,4,0,5,1,3,91,3,3,0,4,8.0,3,1,3,4,4,12,17311.0,4,49,36,1724,127,2473.0,1.0,1.0,5.0,0.0,6.271844660194175,2759.9514563106795
4,1145,1053,0,No,4,1Fam,655.0,0.0,1.0,0.0,490.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,1,PConc,2,Typ,836.0,3.0,Attchd,2000.0,2198,1,GasA,2Story,1,Lvl,Gtl,14260,FR2,84.0,IR1,0,60,RL,350.0,BrkFace,No,0,12,NoRidge,84,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,9,1145.0,AllPub,192,2000,2000,2008,0.5720524017467249,3,2,6,1,4,8,3,4,0,3,8.0,3,2,3,5,4,13,26744.0,4,64,8,2207,16,3343.0,1.0,1.0,7.0,2.0,7.929577464788732,3914.8591549295775
5,796,566,320,No,1,1Fam,732.0,0.0,1.0,0.0,64.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,0,Wood,1,Typ,480.0,2.0,Attchd,1993.0,1362,1,GasA,1.5Fin,1,Lvl,Gtl,14115,Inside,85.0,IR1,0,50,RL,0.0,None,Shed,700,10,Mitchel,30,5,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,5,796.0,AllPub,40,1993,1995,2009,0.9195979899497487,3,0,6,1,4,16,3,3,3,0,16.0,3,1,3,5,3,10,10790.0,4,25,14,1367,30,2158.0,1.0,0.0,4.0,3.0,5.543859649122807,2407.1052631578946
6,1694,0,0,No,3,1Fam,1369.0,0.0,1.0,0.0,317.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,1,PConc,2,Typ,636.0,2.0,Attchd,2004.0,1694,0,GasA,1Story,1,Lvl,Gtl,10084,Inside,75.0,Reg,0,20,RL,186.0,Stone,No,0,8,Somerst,57,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,1686.0,AllPub,255,2004,2005,2007,0.8119810201660735,3,2,6,1,5,3,3,4,0,4,3.0,3,2,3,5,4,13,27040.0,4,64,2,1701,5,3380.0,1.0,0.0,8.0,1.0,7.4010989010989015,2785.730769230769
7,1107,983,0,No,3,1Fam,859.0,32.0,1.0,0.0,216.0,Y,PosN,Norm,SBrkr,228,HdBoard,HdBoard,2,CBlock,2,Typ,484.0,2.0,Attchd,1973.0,2090,1,GasA,2Story,1,Lvl,Gtl,10382,Corner,69.30579531442663,IR1,0,60,RL,240.0,Stone,Shed,350,11,NWAmes,204,6,7,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,1107.0,AllPub,235,1973,1973,2009,0.8048780487804879,3,1,5,4,4,36,3,3,0,3,36.0,3,2,3,5,3,13,22379.0,4,49,36,2097,72,3197.0,1.0,1.0,7.0,3.0,6.343511450381679,2864.4045801526718
8,1022,752,0,No,2,1Fam,0.0,0.0,0.0,0.0,952.0,Y,Artery,Norm,FuseF,205,BrkFace,Wd Shng,2,BrkTil,2,Min1,468.0,2.0,Detchd,1931.0,1774,0,GasA,1.5Fin,2,Lvl,Gtl,6120,Inside,51.0,Reg,0,50,RM,0.0,None,No,0,4,OldTown,0,5,7,Y,0,CompShg,Gable,Abnorml,WD,0,Pave,8,952.0,AllPub,90,1931,1950,2008,0.0,3,0,1,1,3,77,3,3,0,3,77.0,3,1,2,4,3,12,19082.0,4,49,58,1782,135,2726.0,1.0,0.0,6.0,2.0,5.205020920502092,2229.648535564854
9,1077,0,0,No,2,2fmCon,851.0,0.0,1.0,0.0,140.0,Y,Artery,Artery,SBrkr,0,MetalSd,MetalSd,2,BrkTil,1,Typ,205.0,1.0,Attchd,1939.0,1077,0,GasA,1.5Unf,2,Lvl,Gtl,7420,Corner,50.0,Reg,0,190,RL,0.0,None,No,0,1,BrkSide,4,6,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,5,991.0,AllPub,0,1939,1950,2008,0.858728557013118,3,0,6,1,3,69,3,3,0,3,69.0,3,2,4,5,3,11,10340.0,4,25,58,1082,127,2068.0,1.0,1.0,4.0,2.0,5.12037037037037,1991.7314814814815
10,1040,0,0,No,3,1Fam,906.0,0.0,1.0,0.0,134.0,Y,Norm,Norm,SBrkr,0,HdBoard,HdBoard,0,CBlock,1,Typ,384.0,1.0,Detchd,1965.0,1040,0,GasA,1Story,1,Lvl,Gtl,11200,Inside,70.0,Reg,0,20,RL,0.0,None,No,0,2,Sawyer,0,5,5,Y,0,CompShg,Hip,Normal,WD,0,Pave,5,1040.0,AllPub,0,1965,1965,2008,0.8711538461538462,3,0,3,1,3,43,3,3,0,0,43.0,3,1,3,5,3,10,10400.0,4,25,43,1045,86,2080.0,1.0,0.0,4.0,2.0,5.066225165562914,2135.582781456954
11,1182,1142,0,No,4,1Fam,998.0,0.0,1.0,0.0,177.0,Y,Norm,Norm,SBrkr,0,WdShing,Wd Shng,2,PConc,3,Typ,736.0,3.0,BuiltIn,2005.0,2324,0,GasA,2Story,1,Lvl,Gtl,11924,Inside,85.0,IR1,0,60,RL,286.0,Stone,No,0,7,NridgHt,21,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,11,1175.0,AllPub,147,2005,2006,2006,0.8493617021276596,3,0,6,1,5,1,3,5,0,4,1.0,3,3,3,5,5,14,31491.0,4,81,0,2335,1,3499.0,1.0,1.0,8.0,0.0,8.27710843373494,3564.2831325301204
12,912,0,0,No,2,1Fam,737.0,0.0,1.0,0.0,175.0,Y,Norm,Norm,SBrkr,0,HdBoard,Plywood,0,CBlock,1,Typ,352.0,1.0,Detchd,1962.0,912,0,GasA,1Story,1,Lvl,Gtl,12968,Inside,69.30579531442663,IR2,0,20,RL,0.0,None,No,0,9,Sawyer,0,6,5,Y,0,CompShg,Hip,Normal,WD,176,Pave,4,912.0,AllPub,140,1962,1962,2008,0.8081140350877193,3,0,5,1,3,46,3,3,0,0,46.0,3,1,3,3,3,11,9120.0,4,25,46,916,92,1824.0,1.0,0.0,3.0,2.0,5.066225165562914,2135.582781456954
13,1494,0,0,No,3,1Fam,0.0,0.0,0.0,0.0,1494.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,1,PConc,2,Typ,840.0,3.0,Attchd,2006.0,1494,0,GasA,1Story,1,Lvl,Gtl,10652,Inside,91.0,IR1,0,20,RL,306.0,Stone,No,0,8,CollgCr,33,5,7,Y,0,CompShg,Gable,Partial,New,0,Pave,7,1494.0,AllPub,160,2006,2007,2007,0.0,3,2,1,1,4,1,3,4,0,4,1.0,3,2,3,5,4,12,20916.0,4,49,0,1501,1,2988.0,1.0,0.0,6.0,1.0,6.677902621722846,2654.1685393258426
14,1253,0,0,No,2,1Fam,733.0,0.0,1.0,0.0,520.0,Y,Norm,Norm,SBrkr,176,MetalSd,MetalSd,1,CBlock,1,Typ,352.0,1.0,Attchd,1960.0,1253,1,GasA,1Story,1,Lvl,Gtl,10920,Corner,69.30579531442663,IR1,0,20,RL,212.0,BrkFace,No,0,5,NAmes,213,5,6,Y,0,CompShg,Hip,Normal,WD,0,Pave,5,1253.0,AllPub,0,1960,1960,2008,0.5849960095770151,3,0,4,1,3,48,3,3,2,2,48.0,3,2,3,3,3,11,15036.0,4,36,48,1258,96,2506.0,1.0,0.0,5.0,2.0,5.334085778781039,2323.331828442438
15,854,0,0,No,2,1Fam,0.0,0.0,0.0,0.0,832.0,Y,Norm,Norm,FuseA,0,Wd Sdng,Wd Sdng,0,BrkTil,1,Typ,576.0,2.0,Detchd,1991.0,854,0,GasA,1.5Unf,1,Lvl,Gtl,6120,Corner,51.0,Reg,0,45,RM,0.0,None,No,0,7,BrkSide,112,8,7,Y,0,CompShg,Gable,Normal,WD,0,Pave,5,832.0,AllPub,48,1929,2001,2007,0.0,3,0,1,1,3,78,3,3,4,0,16.0,3,1,3,5,3,15,11802.0,4,49,6,859,84,1686.0,1.0,0.0,3.0,1.0,5.12037037037037,1991.7314814814815
16,1004,0,0,No,2,1Fam,578.0,0.0,1.0,0.0,426.0,Y,Norm,Norm,SBrkr,0,Wd Sdng,Wd Sdng,1,CBlock,1,Typ,480.0,2.0,Attchd,1970.0,1004,0,GasA,1Story,1,Lvl,Gtl,11241,CulDSac,69.30579531442663,IR1,0,20,RL,180.0,BrkFace,Shed,700,3,NAmes,0,7,6,Y,0,CompShg,Gable,Normal,WD,0,Pave,5,1004.0,AllPub,0,1970,1970,2010,0.5756972111553785,3,0,5,1,3,40,3,3,0,3,40.0,3,3,3,5,3,13,12048.0,4,36,40,1009,80,2008.0,0.0,0.0,4.0,4.0,5.334085778781039,2323.331828442438
17,1296,0,0,No,2,Duplex,0.0,0.0,0.0,0.0,0.0,Y,Norm,Norm,SBrkr,0,MetalSd,MetalSd,0,Slab,2,Typ,516.0,2.0,CarPort,1967.0,1296,0,GasA,1Story,2,Lvl,Gtl,10791,Inside,72.0,Reg,0,90,RL,0.0,None,Shed,500,10,Sawyer,0,5,4,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,0.0,AllPub,0,1967,1967,2006,0.0,0,0,0,0,0,39,3,3,0,0,39.0,3,1,3,3,3,9,5184.0,4,16,39,1302,78,1296.0,1.0,1.0,2.0,0.0,5.066225165562914,2135.582781456954
18,1114,0,0,No,3,1Fam,646.0,0.0,1.0,0.0,468.0,Y,RRAe,Norm,SBrkr,0,VinylSd,VinylSd,0,PConc,1,Typ,576.0,2.0,Detchd,2004.0,1114,1,GasA,1Story,1,Lvl,Gtl,13695,Inside,66.0,Reg,0,20,RL,0.0,None,No,0,6,SawyerW,102,5,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,1114.0,AllPub,0,2004,2004,2008,0.5798922800718133,3,0,6,1,3,4,3,3,0,0,4.0,3,1,3,5,4,10,11140.0,4,25,4,1120,8,2228.0,1.0,0.0,4.0,2.0,6.336,2589.048
